"id","nameaffiliation","title","doi","year","citations","authors","inb_grant"
"5193","Barcelona Institute for Global Health (ISGlobal)","Redundancy analysis allows improved detection of methylation changes in large genomic regions.","10.1186/s12859-017-1986-0","2017","0","Carlos Ruiz-Arenas, Juan R González","No"
"5194","Barcelona Institute for Global Health (ISGlobal)","APOE and MS4A6A interact with GnRH signaling in Alzheimer's disease: Enrichment of epistatic effects.","10.1016/j.jalz.2016.05.009","2017","1","Alejandro Cáceres, José E Vargas, Juan R González","No"
"5195","Barcelona Institute for Global Health (ISGlobal)","psygenet2r: a R/Bioconductor package for the analysis of psychiatric disease genes.","10.1093/bioinformatics/btx506","2017","0","Alba Gutiérrez-Sacristán, Carles Hernández-Ferrer, Juan R González, Laura I Furlong","Si"
"5196","Barcelona Institute for Global Health (ISGlobal)","Following the footprints of polymorphic inversions on SNP data: from detection to association tests.","10.1093/nar/gkv073","2015","7","Alejandro Cáceres, Juan R González","No"
"5197","Barcelona Institute for Global Health (ISGlobal)","Novel genes involved in severe early-onset obesity revealed by rare copy number and sequence variants.","10.1371/journal.pgen.1006657","2017","0","Clara Serra-Juhé, Gabriel Á Martos-Moreno, Francesc Bou de Pieri, Raquel Flores, Juan R González, Benjamín Rodríguez-Santiago, Jesús Argente, Luis A Pérez-Jurado","No"
"5198","Barcelona Institute for Global Health (ISGlobal)","MultiDataSet: an R package for encapsulating multiple data sets with application to omic data integration.","10.1186/s12859-016-1455-1","2017","0","Carles Hernandez-Ferrer, Carlos Ruiz-Arenas, Alba Beltran-Gomila, Juan R González","No"
"5199","Barcelona Institute for Global Health (ISGlobal)","A flexible count data model to fit the wide diversity of expression profiles arising from extensively replicated RNA-seq experiments.","10.1186/1471-2105-14-254","2013","12","Mikel Esnaola, Pedro Puig, David Gonzalez, Robert Castelo, Juan R Gonzalez","No"
"5200","Barcelona Institute for Global Health (ISGlobal)","R-Gada: a fast and flexible pipeline for copy number analysis in association studies.","10.1186/1471-2105-11-380","2010","33","Roger Pique-Regi, Alejandro Cáceres, Juan R González","No"
"5201","Barcelona Institute for Global Health (ISGlobal)","A fast and accurate method to detect allelic genomic imbalances underlying mosaic rearrangements using SNP array data.","10.1186/1471-2105-12-166","2011","29","Juan R González, Benjamín Rodríguez-Santiago, Alejandro Cáceres, Roger Pique-Regi, Nathaniel Rothman, Stephen J Chanock, Lluís Armengol, Luis A Pérez-Jurado","No"
"5202","Barcelona Institute for Global Health (ISGlobal)","Accounting for uncertainty when assessing association between copy number and disease: a latent class model.","10.1186/1471-2105-10-172","2009","13","Juan R González, Isaac Subirana, Geòrgia Escaramís, Solymar Peraza, Alejandro Cáceres, Xavier Estivill, Lluís Armengol","No"
