"nameaffiliation","year","num_papers"
"Barcelona Institute for Global Health (ISGlobal)","2015","1"
"Barcelona Institute for Global Health (ISGlobal)","2017","5"
"Barcelona Institute for Global Health (ISGlobal)","2013","1"
"Barcelona Institute for Global Health (ISGlobal)","2010","1"
"Barcelona Institute for Global Health (ISGlobal)","2011","1"
"Barcelona Institute for Global Health (ISGlobal)","2009","1"
"Barcelona Institute for Global Health (ISGlobal)","2014","1"
"Barcelona Institute for Global Health (ISGlobal)","2018","1"
"Barcelona Institute for Global Health (ISGlobal)","2006","1"
"Barcelona Institute for Global Health (ISGlobal)","2007","1"
"Barcelona Institute for Global Health (ISGlobal)","2016","1"
"Barcelona Institute for Global Health (ISGlobal)","2012","1"
"Barcelona Supercomputing Center (BSC-CNS)","1997","2"
"Barcelona Supercomputing Center (BSC-CNS)","1992","1"
"Barcelona Supercomputing Center (BSC-CNS)","1990","1"
"Barcelona Supercomputing Center (BSC-CNS)","2007","5"
"Barcelona Supercomputing Center (BSC-CNS)","2002","9"
"Barcelona Supercomputing Center (BSC-CNS)","2018","4"
"Barcelona Supercomputing Center (BSC-CNS)","2005","14"
"Barcelona Supercomputing Center (BSC-CNS)","2003","7"
"Barcelona Supercomputing Center (BSC-CNS)","2006","8"
"Barcelona Supercomputing Center (BSC-CNS)","2004","9"
"Barcelona Supercomputing Center (BSC-CNS)","2014","30"
"Barcelona Supercomputing Center (BSC-CNS)","2015","42"
"Centre d'Estudis Avançats de Blanes - CSIC","2016","3"
"Centre d'Estudis Avançats de Blanes - CSIC","2009","1"
"Centre d'Estudis Avançats de Blanes - CSIC","2015","4"
"Centre d'Estudis Avançats de Blanes - CSIC","2013","2"
"Centre d'Estudis Avançats de Blanes - CSIC","2011","3"
"Centre d'Estudis Avançats de Blanes - CSIC","2014","4"
"Centre d'Estudis Avançats de Blanes - CSIC","2010","3"
"Centre d'Estudis Avançats de Blanes - CSIC","2012","4"
"Centre d'Estudis Avançats de Blanes - CSIC","2017","5"
"Centre d'Estudis Avançats de Blanes - CSIC","2008","3"
"Centre d'Estudis Avançats de Blanes - CSIC","2005","1"
"Centre d'Estudis Avançats de Blanes - CSIC","2003","2"
"Centre de Recerca en Agrigenòmica (CRAG)","1993","1"
"Centre de Recerca en Agrigenòmica (CRAG)","2018","3"
"Centre de Recerca en Agrigenòmica (CRAG)","1998","1"
"Centre de Recerca en Agrigenòmica (CRAG)","1992","1"
"Centre de Recerca en Agrigenòmica (CRAG)","2005","8"
"Centre de Recerca en Agrigenòmica (CRAG)","2017","14"
"Centre de Recerca en Agrigenòmica (CRAG)","2011","16"
"Centre de Recerca en Agrigenòmica (CRAG)","2015","15"
"Centre de Recerca en Agrigenòmica (CRAG)","2016","13"
"Centre de Recerca en Agrigenòmica (CRAG)","2012","13"
"Centre de Recerca en Agrigenòmica (CRAG)","2001","1"
"Centre de Recerca en Agrigenòmica (CRAG)","1996","1"
"Centre de Recerca en Agrigenòmica (CRAG)","1995","2"
"Centre de Recerca en Agrigenòmica (CRAG)","2003","6"
"Centre de Recerca en Agrigenòmica (CRAG)","2006","6"
"Centre de Recerca en Agrigenòmica (CRAG)","2007","7"
"Centre de Recerca en Agrigenòmica (CRAG)","2000","3"
"Centre de Recerca en Agrigenòmica (CRAG)","1999","1"
"Centre de Recerca en Agrigenòmica (CRAG)","2004","9"
"Centre de Recerca en Agrigenòmica (CRAG)","2002","6"
"Centre de Recerca en Agrigenòmica (CRAG)","2013","17"
"Centre de Recerca en Agrigenòmica (CRAG)","2008","14"
"Centre de Recerca en Agrigenòmica (CRAG)","2014","14"
"Centre de Recerca en Agrigenòmica (CRAG)","2009","17"
"Centre de Recerca en Agrigenòmica (CRAG)","2010","16"
"Centre de Recerca Matemàtica (CRM)","2018","3"
"Centre de Recerca Matemàtica (CRM)","2017","4"
"Centre de Recerca Matemàtica (CRM)","2012","2"
"Centre de Recerca Matemàtica (CRM)","2015","5"
"Centre de Recerca Matemàtica (CRM)","2016","9"
"Centre de Recerca Matemàtica (CRM)","2014","7"
"Centre de Recerca Matemàtica (CRM)","2007","1"
"Centre de Recerca Matemàtica (CRM)","2013","3"
"Centre de Recerca Matemàtica (CRM)","2011","2"
"Centre de Recerca Matemàtica (CRM)","2010","1"
"Centre de Recerca Matemàtica (CRM)","2000","1"
"Centre de Recerca Matemàtica (CRM)","2009","1"
"Centre de Recerca Matemàtica (CRM)","2005","1"
"Centre de Recerca Matemàtica (CRM)","2006","3"
"Centre de Regulació Genòmica (CRG)","1999","1"
